Equipo,Age,CrdY,CrdR,Temporada,Posesion%,AciertoPase%,Goles,Aereos,Tiros_pp,Tiros_AP_pp,Regates_pp,Faltas_a_favor_pp,Juego_abierto,Contraataque,Balon_Parado
Newcastle,25.6,67,2.0,11_12,47.9,76.0,51.0,10.9,12.9,4.1,6.3,11.4,37.0,4.0,8.0
Norwich,25.8,60,3.0,11_12,47.4,75.4,52.0,10.5,13.5,4.3,3.0,8.7,30.0,4.0,16.0
Queens Park Rangers,28.8,59,9.0,11_12,21.6,73.8,43.0,11.0,14.2,3.9,5.9,11.7,28.0,0.0,11.0
Stoke,27.9,60,2.0,11_12,43.3,69.1,38.0,15.3,9.9,2.5,3.7,10.4,14.0,1.0,16.0
Sunderland,25.8,62,4.0,11_12,45.6,73.6,45.0,10.8,12.1,3.7,5.4,10.1,29.0,3.0,10.0
Swansea City,25.4,41,2.0,11_12,56.2,85.1,44.0,5.9,12.4,3.8,8.0,11.4,30.0,1.0,7.0
Tottenham,27.6,47,3.0,11_12,55.5,84.2,66.0,11.0,18.4,6.1,8.6,10.2,47.0,5.0,9.0
West Bromwich Albion,27.8,48,1.0,11_12,,,,,,,,,,,
Wigan,26.3,69,3.0,11_12,49.9,79.9,42.0,7.9,13.7,4.3,7.6,11.1,23.0,2.0,11.0
Wolves,26.0,64,4.0,11_12,48.2,75.6,42.0,10.6,12.4,4.0,4.3,10.3,27.0,1.0,9.0
Arsenal,25.6,46,4.0,12_13,58.0,85.2,72.0,16.8,15.7,5.4,10.7,10.8,45.0,7.0,12.0
Aston Villa,24.1,75,3.0,12_13,33.2,77.2,53.0,18.9,11.5,3.7,6.6,9.1,28.0,6.0,10.0
Chelsea,26.4,54,3.0,12_13,44.4,82.7,74.0,13.5,16.5,5.6,7.3,11.9,45.0,3.0,15.0
Everton,28.8,63,3.0,12_13,38.6,79.0,53.0,18.6,16.7,5.4,5.3,13.1,37.0,3.0,11.0
Fulham,30.4,48,3.0,12_13,33.1,81.4,46.0,15.3,12.1,4.2,6.2,10.8,29.0,2.0,8.0
Liverpool,26.2,54,2.0,12_13,41.5,83.9,71.0,12.7,19.4,6.1,9.9,9.4,50.0,1.0,11.0
Manchester City,26.7,64,3.0,12_13,46.0,84.6,66.0,15.8,17.3,6.1,7.7,9.2,40.0,6.0,14.0
Manchester Utd,27.3,56,1.0,12_13,47.6,85.2,84.0,14.2,14.8,5.6,6.4,11.1,51.0,3.0,22.0
Newcastle,26.2,75,4.0,12_13,48.0,79.1,45.0,18.1,14.0,4.6,8.9,10.6,31.0,2.0,6.0
Norwich,26.7,60,1.0,12_13,27.0,73.0,41.0,17.1,10.9,3.5,4.8,10.5,22.0,0.0,17.0
Queens Park Rangers,28.2,61,3.0,12_13,33.7,76.2,34.0,15.3,13.2,3.9,9.2,11.4,20.0,4.0,5.0
Reading,27.2,45,1.0,12_13,32.4,69.2,41.0,18.4,10.3,3.4,4.4,11.3,22.0,2.0,13.0
Southampton,25.3,43,2.0,12_13,42.9,77.3,48.0,16.4,13.6,4.4,6.3,9.4,32.0,2.0,8.0
Stoke,27.1,83,4.0,12_13,35.7,69.9,37.0,28.9,10.3,3.0,4.2,9.4,14.0,1.0,15.0
Sunderland,26.2,63,3.0,12_13,31.1,75.2,42.0,17.1,11.0,3.7,6.2,12.1,21.0,3.0,11.0
Swansea City,26.6,59,2.0,12_13,53.8,84.4,48.0,12.9,13.3,4.4,5.2,11.0,40.0,2.0,5.0
Tottenham,26.3,54,2.0,12_13,33.0,82.5,62.0,14.6,17.9,6.3,8.0,10.3,46.0,6.0,10.0
West Bromwich Albion,27.6,62,4.0,12_13,,,,,,,,,,,
West Ham,28.0,74,1.0,12_13,30.5,73.6,45.0,21.1,13.0,4.2,5.0,9.6,25.0,2.0,12.0
Wigan,27.7,66,2.0,12_13,46.7,82.1,48.0,10.3,13.2,4.5,7.0,11.6,29.0,2.0,13.0
Arsenal,26.8,54,0.0,13_14,57.3,85.5,68.0,17.9,13.8,5.6,9.0,10.6,53.0,4.0,8.0
Aston Villa,24.6,78,0.0,13_14,32.5,73.2,42.0,19.3,11.3,3.6,6.2,9.2,24.0,4.0,8.0
Cardiff City,25.4,49,0.0,13_14,34.1,75.4,30.0,18.5,11.0,3.3,8.3,9.7,16.0,0.0,13.0
Chelsea,27.7,62,0.0,13_14,43.9,82.7,71.0,19.3,18.2,6.0,11.4,11.8,44.0,5.0,15.0
Crystal Palace,28.1,55,0.0,13_14,32.2,70.2,33.0,23.2,10.9,3.8,7.7,9.7,17.0,2.0,8.0
Everton,27.6,55,0.0,13_14,43.9,83.2,61.0,14.3,14.8,5.2,12.6,11.7,40.0,3.0,12.0
Fulham,29.0,59,0.0,13_14,40.0,78.0,43.0,17.1,11.3,3.9,8.0,10.2,21.0,1.0,14.0
Hull,27.5,55,0.0,13_14,42.8,76.1,39.0,18.9,11.3,3.5,5.8,10.5,21.0,2.0,10.0
Liverpool,25.7,53,0.0,13_14,48.5,84.1,101.0,15.2,17.1,6.8,12.4,10.8,51.0,9.0,26.0
Manchester City,27.7,72,0.0,13_14,47.4,85.5,100.0,15.2,17.7,6.3,8.9,9.0,66.0,5.0,20.0
Manchester Utd,26.7,70,0.0,13_14,42.2,84.0,64.0,15.4,13.8,4.8,8.9,11.8,46.0,1.0,11.0
Newcastle,26.4,54,0.0,13_14,38.9,79.4,43.0,20.6,15.2,4.8,10.1,9.2,28.0,3.0,8.0
Norwich,26.3,64,0.0,13_14,37.3,75.9,31.0,15.8,12.3,3.9,6.7,10.3,22.0,1.0,4.0
Southampton,25.1,61,0.0,13_14,49.7,81.1,55.0,17.4,14.1,4.7,8.9,9.9,35.0,2.0,12.0
Stoke,27.3,79,0.0,13_14,42.2,77.3,43.0,25.3,11.3,3.6,7.6,9.5,29.0,3.0,7.0
Sunderland,26.5,68,0.0,13_14,29.5,77.5,46.0,15.0,12.9,3.6,6.4,11.9,18.0,4.0,13.0
Swansea City,26.5,58,0.0,13_14,18.1,84.8,50.0,14.9,13.0,4.3,7.6,9.9,33.0,0.0,10.0
Tottenham,25.2,65,0.0,13_14,55.0,81.1,51.0,15.0,15.5,5.1,11.0,10.2,30.0,4.0,11.0
West Bromwich Albion,28.4,67,0.0,13_14,,,,,,,,,,,
West Ham,28.5,65,0.0,13_14,32.5,73.1,38.0,21.2,11.1,3.2,7.4,9.7,23.0,2.0,10.0
Arsenal,26.1,69,0.0,14_15,55.7,83.8,70.0,19.8,16.1,6.0,15.8,11.0,45.0,2.0,16.0
Aston Villa,26.3,76,0.0,14_15,49.1,79.0,32.0,18.4,11.0,3.3,7.6,11.1,18.0,2.0,10.0
Burnley,27.2,66,0.0,14_15,44.0,70.3,29.0,25.1,11.3,3.3,6.4,10.5,19.0,0.0,7.0
Chelsea,27.0,75,0.0,14_15,54.1,83.2,72.0,18.6,14.8,5.5,12.9,11.4,52.0,1.0,15.0
Crystal Palace,27.8,70,0.0,14_15,42.7,69.4,46.0,23.7,11.6,3.7,9.4,11.4,22.0,0.0,19.0
Everton,27.9,71,0.0,14_15,53.6,82.5,48.0,15.3,12.7,4.4,10.3,11.8,26.0,5.0,11.0
Hull,27.4,75,0.0,14_15,45.5,76.5,32.0,21.9,11.3,3.4,6.7,10.6,22.0,2.0,7.0
Leicester,27.9,49,0.0,14_15,44.8,71.1,51.0,23.4,12.0,3.6,9.2,9.2,27.0,3.0,12.0
Liverpool,25.2,70,0.0,14_15,54.3,82.8,51.0,14.9,15.5,5.1,11.5,12.3,35.0,2.0,6.0
Manchester City,28.6,82,0.0,14_15,57.0,84.6,84.0,15.9,17.6,6.0,11.4,7.8,53.0,10.0,12.0
Manchester Utd,26.0,68,0.0,14_15,58.8,85.1,61.0,15.8,13.5,4.7,9.8,10.4,43.0,2.0,12.0
Newcastle,25.9,78,0.0,14_15,48.1,76.9,41.0,17.7,12.3,3.8,11.7,11.6,31.0,1.0,7.0
Queens Park Rangers,28.2,79,0.0,14_15,46.3,70.8,42.0,21.7,14.1,3.9,8.1,10.3,23.0,1.0,12.0
Southampton,26.0,59,0.0,14_15,51.9,79.7,49.0,16.9,13.4,4.4,7.0,10.4,41.0,0.0,6.0
Stoke,27.4,84,0.0,14_15,50.2,77.5,47.0,24.4,13.2,3.6,9.4,10.8,37.0,1.0,6.0
Sunderland,27.8,96,0.0,14_15,46.2,76.1,35.0,15.3,10.7,3.4,9.0,11.8,15.0,2.0,9.0
Swansea City,26.6,54,0.0,14_15,50.7,82.1,45.0,14.4,11.2,3.9,9.2,12.2,36.0,1.0,4.0
Tottenham,24.4,81,0.0,14_15,55.2,81.2,58.0,16.0,13.9,4.5,10.9,10.1,36.0,2.0,15.0
West Bromwich Albion,28.0,64,0.0,14_15,,,,,,,,,,,
West Ham,26.8,66,0.0,14_15,46.7,74.6,45.0,22.9,12.9,4.0,6.8,11.0,29.0,1.0,12.0
Arsenal,27.0,45,0.0,15_16,56.9,84.2,66.0,15.2,15.1,5.6,13.0,11.4,45.0,3.0,13.0
Aston Villa,26.6,77,0.0,15_16,17.2,77.8,27.0,19.1,10.0,2.9,11.1,9.6,14.0,1.0,7.0
Bournemouth,27.7,53,0.0,15_16,51.0,79.8,45.0,15.3,12.2,3.7,10.9,10.4,28.0,0.0,12.0
Chelsea,26.8,62,0.0,15_16,54.4,82.5,58.0,14.1,13.8,4.6,12.3,12.6,39.0,1.0,11.0
Crystal Palace,27.7,62,0.0,15_16,46.8,74.4,40.0,17.8,12.3,4.0,10.3,11.3,19.0,0.0,15.0
Everton,26.5,50,0.0,15_16,51.5,81.4,58.0,12.9,12.9,4.6,11.7,10.8,41.0,3.0,8.0
Leicester,27.7,54,0.0,15_16,44.7,70.5,68.0,18.8,13.7,4.7,11.3,9.3,41.0,5.0,11.0
Liverpool,25.2,67,0.0,15_16,55.0,80.2,63.0,16.5,16.6,5.3,10.8,9.9,44.0,1.0,15.0
Manchester City,28.3,63,0.0,15_16,55.2,83.1,71.0,15.7,16.2,5.5,12.0,10.1,47.0,5.0,14.0
Manchester Utd,25.6,67,0.0,15_16,55.8,82.3,47.0,13.1,11.3,3.8,9.8,9.4,34.0,2.0,7.0
Newcastle,25.4,61,0.0,15_16,47.4,76.6,44.0,13.9,10.4,4.0,9.7,9.5,28.0,4.0,8.0
Norwich,27.7,64,0.0,15_16,46.5,73.6,39.0,17.4,11.0,3.4,8.4,8.1,27.0,0.0,10.0
Southampton,26.4,63,0.0,15_16,49.3,77.7,57.0,19.3,13.7,4.4,7.1,9.6,38.0,3.0,13.0
Stoke,27.4,53,0.0,15_16,50.0,79.1,41.0,16.4,11.0,3.4,10.6,10.1,29.0,0.0,6.0
Sunderland,27.3,68,0.0,15_16,43.3,71.0,48.0,17.3,11.6,3.7,8.0,10.1,24.0,2.0,15.0
Swansea City,27.6,60,0.0,15_16,52.0,80.9,43.0,13.7,11.6,3.6,7.9,11.9,25.0,3.0,8.0
Tottenham,24.5,72,0.0,15_16,27.3,80.5,71.0,14.3,17.3,6.6,9.5,10.2,44.0,2.0,17.0
Watford,28.2,77,0.0,15_16,46.3,72.6,40.0,17.4,11.7,3.7,8.7,10.2,23.0,0.0,8.0
West Bromwich Albion,29.1,65,0.0,15_16,,,,,,,,,,,
West Ham,26.6,57,0.0,15_16,49.1,77.6,67.0,17.7,14.7,4.9,10.4,11.8,42.0,2.0,16.0
Arsenal,26.9,69,0.0,16_17,58.6,83.8,77.0,16.6,14.9,5.3,12.0,10.2,55.0,2.0,12.0
Bournemouth,27.0,56,2.0,16_17,51.1,81.3,55.0,14.5,11.9,4.2,11.1,12.6,32.0,2.0,12.0
Burnley,27.7,67,1.0,16_17,39.7,67.9,39.0,24.1,10.3,3.2,4.7,10.7,19.0,2.0,12.0
Chelsea,27.2,72,0.0,16_17,54.8,83.9,85.0,14.1,15.3,5.4,13.3,12.3,52.0,7.0,22.0
Crystal Palace,27.7,79,0.0,16_17,45.1,73.4,50.0,22.0,11.6,3.6,10.3,12.2,32.0,0.0,12.0
Everton,27.5,74,1.0,16_17,51.8,79.0,62.0,17.5,13.2,5.0,10.6,10.8,41.0,2.0,12.0
Hull,27.4,67,0.0,16_17,45.2,77.4,37.0,15.6,10.4,3.3,6.9,10.0,16.0,3.0,14.0
Leicester,27.8,73,0.0,16_17,41.6,70.1,48.0,20.2,11.4,3.8,7.9,8.6,28.0,4.0,10.0
Liverpool,26.1,54,0.0,16_17,62.0,82.4,78.0,17.3,16.8,6.2,10.9,9.9,55.0,2.0,13.0
Manchester City,28.5,71,0.0,16_17,64.9,85.5,80.0,15.4,16.7,5.7,13.3,11.2,51.0,6.0,11.0
Manchester Utd,26.7,80,1.0,16_17,56.7,84.2,54.0,16.4,15.6,5.5,10.6,11.6,40.0,4.0,7.0
Middlesbrough,27.3,79,1.0,16_17,46.8,77.3,27.0,20.4,9.2,2.6,10.5,10.3,14.0,3.0,7.0
Southampton,26.0,61,1.0,16_17,54.1,80.5,41.0,17.1,14.5,4.7,8.4,10.9,29.0,0.0,7.0
Stoke,28.7,72,1.0,16_17,46.1,75.3,41.0,21.3,11.2,3.6,9.6,11.4,24.0,0.0,9.0
Sunderland,26.8,84,3.0,16_17,39.3,72.6,29.0,16.2,10.2,3.1,8.4,10.2,18.0,0.0,5.0
Swansea City,27.4,56,0.0,16_17,47.3,78.9,45.0,17.9,10.7,3.8,8.3,11.0,24.0,1.0,17.0
Tottenham,25.3,62,0.0,16_17,60.5,82.5,86.0,15.1,17.6,6.8,11.8,12.0,61.0,3.0,13.0
Watford,29.0,90,3.0,16_17,45.9,74.0,40.0,19.1,11.1,3.8,8.9,10.7,25.0,0.0,11.0
West Bromwich Albion,29.4,80,0.0,16_17,,,,,,,,,,,
West Ham,27.1,86,4.0,16_17,46.7,78.2,47.0,19.1,13.1,3.6,10.7,12.0,24.0,3.0,16.0
Arsenal,26.8,57,,17_18,58.5,84.3,74.0,17.0,15.6,6.2,10.1,9.9,54.0,0.0,15.0
Bournemouth,26.9,57,,17_18,48.5,77.0,45.0,19.0,12.2,4.2,9.0,10.8,26.0,0.0,16.0
Brighton,27.5,54,,17_18,45.1,74.9,34.0,21.4,10.1,3.1,7.8,7.3,23.0,0.0,5.0
Burnley,27.5,65,,17_18,45.1,70.5,36.0,25.2,9.9,3.4,5.7,11.1,27.0,0.0,8.0
Chelsea,26.7,46,,17_18,54.4,84.3,62.0,16.2,15.9,5.8,13.5,10.7,45.0,1.0,11.0
Crystal Palace,27.1,72,,17_18,46.9,75.4,45.0,20.2,12.5,4.0,12.7,10.6,23.0,3.0,10.0
Everton,26.7,55,,17_18,46.7,74.3,44.0,20.4,9.4,3.2,6.9,9.6,29.0,2.0,6.0
Huddersfield,26.4,65,,17_18,46.4,74.0,28.0,21.2,9.5,2.9,7.3,9.6,17.0,2.0,4.0
Leicester,27.2,60,,17_18,48.3,74.7,56.0,20.9,11.1,3.9,11.1,9.4,29.0,7.0,12.0
Liverpool,25.6,44,,17_18,58.0,83.8,84.0,15.7,16.8,6.1,11.6,8.0,60.0,9.0,11.0
Manchester City,26.4,63,,17_18,66.4,89.0,106.0,13.8,17.5,7.0,13.2,9.3,78.0,4.0,15.0
Manchester Utd,26.7,64,,17_18,53.9,83.6,68.0,16.6,13.5,4.7,12.3,11.1,48.0,4.0,14.0
Newcastle,25.6,54,,17_18,43.8,72.3,39.0,23.8,11.9,3.9,8.0,9.7,23.0,4.0,11.0
Southampton,26.2,65,,17_18,51.0,77.5,37.0,18.5,11.8,3.8,10.0,9.9,19.0,2.0,12.0
Stoke,27.5,62,,17_18,43.7,71.5,35.0,26.0,10.1,3.5,8.6,9.9,22.0,2.0,10.0
Swansea City,27.2,51,,17_18,46.0,78.2,28.0,18.5,8.9,2.7,8.4,10.5,16.0,0.0,10.0
Tottenham,25.8,52,,17_18,58.8,83.8,74.0,16.3,16.4,5.7,11.5,10.4,48.0,8.0,12.0
Watford,27.9,65,,17_18,49.3,75.5,44.0,22.6,11.6,3.5,8.7,10.0,29.0,1.0,9.0
West Bromwich Albion,29.1,73,,17_18,,,,,,,,,,,
West Ham,28.0,75,,17_18,46.4,75.5,48.0,19.8,9.8,3.5,11.1,11.8,32.0,4.0,10.0
Arsenal,26.7,74,2.0,18_19,24.1,83.3,73.0,14.9,12.3,4.5,8.0,12.0,49.0,3.0,13.0
Bournemouth,26.6,60,1.0,18_19,47.7,78.1,56.0,18.8,11.7,4.3,7.7,11.6,26.0,9.0,13.0
Brighton,27.4,62,4.0,18_19,44.1,74.8,35.0,22.0,9.8,2.8,7.1,7.9,12.0,4.0,14.0
Burnley,28.0,75,1.0,18_19,17.9,70.3,45.0,27.6,9.5,3.1,5.4,9.4,26.0,1.0,14.0
Cardiff City,27.7,66,1.0,18_19,39.1,63.9,34.0,25.8,11.0,3.3,6.8,10.3,19.0,0.0,11.0
Chelsea,27.3,49,0.0,18_19,20.3,87.6,63.0,14.0,16.0,5.2,11.8,11.2,45.0,1.0,10.0
Crystal Palace,27.4,59,2.0,18_19,46.6,76.8,51.0,18.1,13.0,3.9,9.9,10.3,28.0,2.0,8.0
Everton,25.7,57,4.0,18_19,51.0,77.3,54.0,23.5,13.1,4.4,8.7,11.0,33.0,2.0,16.0
Fulham,26.0,72,2.0,18_19,49.2,80.3,34.0,19.7,11.9,3.8,9.3,9.0,24.0,2.0,5.0
Huddersfield,26.2,57,4.0,18_19,47.1,75.8,22.0,22.6,10.6,3.1,6.1,9.7,10.0,1.0,9.0
Leicester,25.9,63,5.0,18_19,50.8,79.2,51.0,21.5,13.6,4.8,10.3,9.9,24.0,8.0,11.0
Liverpool,26.1,41,2.0,18_19,58.8,84.4,89.0,16.0,15.1,5.9,9.4,9.1,53.0,6.0,20.0
Manchester City,26.7,44,1.0,18_19,51.9,89.0,95.0,14.3,18.0,6.8,11.5,7.9,72.0,5.0,11.0
Manchester Utd,26.3,77,4.0,18_19,53.3,82.3,65.0,18.3,13.8,5.9,8.4,10.4,40.0,4.0,12.0
Newcastle,26.9,57,2.0,18_19,42.9,72.9,42.0,21.2,11.7,3.7,6.2,8.7,29.0,1.0,10.0
Southampton,25.4,75,3.0,18_19,45.4,74.0,45.0,20.4,12.7,4.3,7.6,9.0,31.0,1.0,8.0
